frame_index,timestamp,character_x,character_y,character_facing,character_confidence,monster_count,monster_centers,a_wave_state,a_wave_direction,a_wave_confidence,a_wave_provenance,registration_ok,registration_confidence,quality_flags
13493,510.0182,,,left,0.55,1,"[[1618.0, 725.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
13548,512.032433,,,left,0.55,3,"[[266.0, 719.0], [1316.0, 717.0], [668.0, 379.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
13602,514.060567,,,left,0.55,2,"[[1694.0, 721.0], [1150.0, 721.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
13655,516.1026,,,unknown,0.0,2,"[[1308.0, 755.0], [1552.0, 763.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
13706,518.102933,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
13756,520.1241,,,right,0.55,2,"[[502.0, 197.0], [950.0, 647.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
13810,522.138367,,,right,0.55,2,"[[1034.0, 669.0], [266.0, 779.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
13863,524.166467,,,right,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
13918,526.1807,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
13974,528.2019,,,left,0.55,1,"[[412.0, 379.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
14029,530.2439,,,left,0.55,1,"[[714.0, 379.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
14084,532.272033,,,left,0.55,2,"[[1312.0, 729.0], [1040.0, 729.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
14138,534.279333,,,unknown,0.0,3,"[[1344.0, 757.0], [938.0, 765.0], [398.0, 197.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
14190,536.279667,,,unknown,0.0,1,"[[1098.0, 765.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
14242,538.3078,,,unknown,0.0,2,"[[732.0, 757.0], [1406.0, 755.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
14293,540.308133,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
14345,542.336267,,,right,0.55,1,"[[1350.0, 755.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
14398,544.357467,,,left,0.55,3,"[[424.0, 803.0], [770.0, 915.0], [1398.0, 915.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
14453,546.3578,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
14507,548.378967,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
14562,550.434867,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
14616,552.435233,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
14671,554.442533,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
14723,556.4498,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
14775,558.4571,,,right,0.55,1,"[[252.0, 469.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
14829,560.485233,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
14884,562.5064,,,left,0.55,2,"[[666.0, 603.0], [846.0, 723.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
14938,564.520633,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
14991,566.527933,,,left,0.55,1,"[[1758.0, 743.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
15044,568.528267,,,right,0.55,3,"[[1213.0, 763.0], [974.0, 663.0], [1362.0, 775.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
15097,570.549467,,,unknown,0.0,2,"[[988.0, 777.0], [344.0, 419.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
15151,572.570633,,,unknown,0.0,2,"[[1092.0, 773.0], [1398.0, 773.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
15202,574.598767,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
15256,576.6269,,,unknown,0.0,3,"[[554.0, 221.0], [1064.0, 777.0], [1400.0, 773.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
15308,578.627233,,,right,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
15360,580.627567,,,right,0.55,1,"[[924.0, 729.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
15414,582.6418,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
15468,584.656033,,,left,0.55,1,"[[632.0, 389.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
15522,586.663333,,,unknown,0.0,2,"[[494.0, 223.0], [488.0, 411.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
15575,588.691467,,,unknown,0.0,1,"[[1514.0, 771.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
15629,590.698733,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
15681,592.6991,,,unknown,0.0,1,"[[413.0, 405.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
15734,594.713333,,,right,0.55,2,"[[1398.0, 787.0], [1162.0, 679.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
15787,596.7345,,,right,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
15840,598.748733,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
15895,600.790767,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
15950,602.798067,,,left,0.55,1,"[[519.0, 173.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
16004,604.7984,,,unknown,0.0,2,"[[1446.0, 771.0], [594.0, 203.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
16057,606.819567,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
16111,608.8477,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
16164,610.8689,,,right,0.55,4,"[[690.0, 447.0], [214.0, 435.0], [590.0, 237.0], [1546.0, 785.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
16217,612.903967,,,right,0.55,3,"[[636.0, 447.0], [265.0, 433.0], [1448.0, 789.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
16273,614.9043,,,unknown,0.0,1,"[[123.0, 621.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
16327,616.904633,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
16381,618.932767,,,left,0.55,3,"[[350.0, 603.0], [1732.0, 725.0], [1534.0, 725.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
16435,620.967833,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
16487,622.989033,,,unknown,0.0,4,"[[914.0, 649.0], [1174.0, 761.0], [768.0, 761.0], [976.0, 761.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
16538,625.003267,,,unknown,0.0,2,"[[562.0, 661.0], [796.0, 783.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
16591,627.0314,,,unknown,0.0,1,"[[610.0, 423.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
16644,629.031733,238.0,659.0,right,0.1278,3,"[[674.0, 777.0], [182.0, 437.0], [591.0, 211.0]]",active,right,0.726,visual,True,1.0,
16696,631.0529,,,right,0.55,3,"[[591.0, 213.0], [1284.0, 775.0], [936.0, 783.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
16748,633.081033,,,right,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
16802,635.095267,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
16857,637.095633,,,left,0.55,1,"[[268.0, 723.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
16910,639.109833,,,left,0.55,2,"[[1454.0, 725.0], [78.0, 721.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
16962,641.1102,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
17015,643.1661,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
17068,645.180333,,,right,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
17124,647.1807,,,right,0.55,1,"[[982.0, 781.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
17177,649.194933,,,right,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
17229,651.2022,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
17284,653.2234,,,left,0.55,1,"[[706.0, 571.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
17335,655.2793,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
